"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ap1s3",0,-1.90457407563519,0.856,0.922,0
"Sphkap",0,1.03356272821169,0.754,0.11,0
"H3f3a",0,1.21794049626099,0.941,0.508,0
"Rpl7",0,1.17651503980417,0.855,0.296,0
"Eloc",0,0.827095001929091,0.765,0.179,0
"Ptma",0,1.58380148125054,0.993,0.742,0
"Pde6d",0,0.990091498455729,0.845,0.273,0
"Sdhaf4",0,0.678816625105277,0.661,0.123,0
"Cacybp",0,0.880084986123505,0.753,0.183,0
"Ndufb3",0,1.29701028296793,0.908,0.261,0
"Snrpe",0,0.772327163519794,0.722,0.152,0
"Nrp2",0,-2.40952060759647,0.212,0.614,0
"Cops9",0,1.20835840595881,0.842,0.176,0
"Cox5b",0,1.40461712319476,0.929,0.31,0
"Mrpl30",0,0.729972765170214,0.664,0.105,0
"Rpl31",0,0.72860667087359,0.64,0.095,0
"Tcea1",0,0.898058630144056,0.86,0.271,0
"Rpl37a",0,1.61969913927704,0.982,0.536,0
"Dbi",0,0.977951655314523,0.78,0.211,0
"Pfdn2",0,0.836611409150087,0.85,0.227,0
"Rd3",0,1.76649472613695,0.955,0.341,0
"Cct2",0,0.803510720386498,0.771,0.182,0
"Hsp90b1",0,1.10429529824936,0.997,0.745,0
"Marcks",0,1.12642382564325,0.949,0.434,0
"Llph",0,0.689353498574259,0.724,0.139,0
"Snrpf",0,0.654402674003182,0.618,0.067,0
"Ddit3",0,0.864119308049632,0.714,0.16,0
"Mrln",0,0.608623340173289,0.557,0.069,0
"Naca",0,1.07964227554263,0.9,0.349,0
"Atp5b",0,1.11480210642139,0.872,0.236,0
"Nap1l1",0,0.658258225763676,0.734,0.164,0
"Atxn7l3b",0,1.07308448732725,0.961,0.474,0
"Myl6",0,1.40273123601271,0.945,0.375,0
"Rpl41",0,1.64906492126873,0.998,0.789,0
"Rps26",0,1.28556297821206,0.93,0.352,0
"Snrpd3",0,0.753243246085172,0.706,0.115,0
"Ddt",0,0.662428813019112,0.6,0.083,0
"Tpgs1",0,0.661835079249542,0.672,0.108,0
"Gpx4",0,1.36351918630995,0.891,0.225,0
"Atp5d",0,1.14771594000375,0.869,0.232,0
"Rps15",0,1.78179153508916,0.978,0.471,0
"Uqcr11",0,1.52865689284782,0.937,0.257,0
"Abhd17a",0,1.22054428985094,0.908,0.291,0
"Timm13",0,1.20846327076235,0.89,0.191,0
"Thop1",0,0.567735108867812,0.656,0.113,0
"Eef2",0,1.08113679070948,0.945,0.419,0
"Dapk3",0,0.803955132627074,0.712,0.098,0
"Mrpl54",0,0.994037248992604,0.796,0.141,0
"Gipc3",0,0.755660226583166,0.641,0.067,0
"Psmb3",0,0.94471640135363,0.85,0.26,0
"Rpl23",0,1.12565668673142,0.966,0.554,0
"H2bu2",0,1.60125185339268,0.888,0.204,0
"Rpl19",0,1.27343066267169,0.93,0.337,0
"Guk1",0,0.909422925756041,0.733,0.151,0
"Mien1",0,0.985750157769002,0.788,0.181,0
"Ywhae",0,1.13073210752573,0.964,0.467,0
"Rps27a",0,0.848620181053977,0.762,0.183,0
"Bod1",0,0.812077249347631,0.802,0.218,0
"Eif1",0,1.10907447811896,0.955,0.556,0
"Coa3",0,0.866921473680039,0.692,0.108,0
"Rack1",0,1.03757359975092,0.851,0.284,0
"Rpl27",0,1.01610505406954,0.779,0.123,0
"Rpl23a",0,0.860992743711829,0.727,0.122,0
"Ubb",0,1.77869519565942,0.976,0.522,0
"Sqstm1",0,0.617212123131142,0.693,0.138,0
"Ndufaf8",0,0.598373881309114,0.641,0.103,0
"Actg1",0,1.26199972108681,0.915,0.351,0
"Skp1",0,1.36546104546924,0.915,0.259,0
"Uqcrq",0,1.69436773944399,0.95,0.293,0
"Slc25a39",0,0.670854749615638,0.666,0.113,0
"Naa38",0,0.674041118195049,0.566,0.056,0
"Efcab15",0,0.801551495615989,0.663,0.078,0
"Hint1",0,1.32158211625195,0.94,0.446,0
"Eif4a1",0,0.825132716427499,0.813,0.216,0
"Atox1",0,0.83397048455852,0.542,0.057,0
"Eif5a",0,1.14080664694169,0.89,0.291,0
"Gabarap",0,1.23842076294351,0.886,0.28,0
"Selenom",0,1.59043417737493,1,0.922,0
"Uqcr10",0,1.18295562646113,0.869,0.223,0
"Psmb6",0,1.07894278372881,0.84,0.161,0
"Dynll2",0,1.02340049280453,0.957,0.436,0
"Pfn1",0,1.01766589906448,0.867,0.245,0
"Mrps24",0,0.691043321413244,0.69,0.14,0
"Rpl38",0,1.67663344916553,0.984,0.51,0
"Nat9",0,0.592291782850838,0.598,0.08,0
"Atp5h",0,1.27260280133592,0.914,0.298,0
