"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fezf1",2.69931626107403e-28,-2.63526279313101,0.011,0.932,1.41247121993221e-23
"C130093G08Rik",9.20905332160343e-27,-3.27541612352188,0.056,0.932,4.81882133159543e-22
"Pcolce2",6.3568762026298e-26,-1.64055945586451,0,0.864,3.32636261055009e-21
"Krt8",1.5441065597346e-25,3.71648633346073,1,0.136,8.07984639512326e-21
"Tshz2",4.49727883372514e-25,-2.6752811153149,0.422,1,2.35329109532336e-20
"Camk2d",2.1954632134508e-24,-2.24234139381676,0.244,0.966,1.1488200357024e-19
"Fabp5",5.00656495771324e-24,2.37664742992899,1,0.898,2.61978524542261e-19
"Rcor1",9.12112150547324e-24,-2.64389959738507,0.511,0.983,4.77280925016898e-19
"Sp8",1.50332036576434e-23,2.62154316730314,0.933,0.017,7.86642447793504e-19
"Foxg1",1.84168705040019e-23,2.13428766678326,0.956,0.102,9.6369958286291e-19
"Zfhx3",3.1782453862373e-23,-2.45248443676713,0.278,0.966,1.66308046325639e-18
"Cdkn1b",5.38323026504748e-23,2.30717455268828,0.933,0.085,2.81688290079139e-18
"Crabp1",7.15429024590375e-23,-2.68683990115688,0.933,1,3.74362545697406e-18
"Gnb2",8.77379018254921e-23,1.97575411802105,0.978,0.288,4.59106118882252e-18
"Gng13",1.07629599024334e-22,-2.72900747032854,0.122,0.898,5.63193402814631e-18
"Camk2n1",4.82666350762638e-22,1.83999630808254,0.989,0.814,2.52564821363566e-17
"Atp10d",7.04210450932418e-22,-1.31993275940135,0.044,0.814,3.68492202659406e-17
"Zfp644",7.53167017500399e-22,-2.58084549357447,0.7,1,3.94109705247434e-17
"Retreg1",7.6338111031721e-22,-1.4918417767718,0.2,0.932,3.99454433595686e-17
"Homer2",8.12357034119406e-22,-2.37235184632764,0.467,0.983,4.25082065243662e-17
"Gpx2",9.36077557227084e-22,2.61300904764562,0.911,0.085,4.89821303370216e-17
"Qdpr",1.06613031111576e-21,-1.46797486976086,0.922,1,5.57874007897543e-17
"Stmn2",1.44570560523496e-21,1.10437414189721,1,1,7.56494372051297e-17
"Sub1",2.13865723487348e-21,-1.66802862588932,0.856,0.983,1.11909517129224e-16
"Neurod1",2.46553958262257e-21,3.66671674820314,0.889,0.034,1.29014289739891e-16
"Uncx",2.60251262231349e-21,-1.96093893152934,0.322,1,1.36181677987798e-16
"Mt1",3.1601634650477e-21,-2.44981507065049,0.322,0.949,1.65361873635551e-16
"Cystm1",6.28508399919955e-21,-1.83388047377625,0.789,0.983,3.28879590426115e-16
"Tex14",1.6506920457847e-20,1.9879152706505,0.856,0.017,8.63757626797762e-16
"Ppp1r2",1.81288986231559e-20,-1.57749121434547,0.744,0.983,9.48630878253876e-16
"Cdkn1a",1.98545900388956e-20,2.58938235726025,0.944,0.525,1.03893113296529e-15
"Dtna",2.82857778442578e-20,-1.40472548713761,0.256,0.932,1.48010989725648e-15
"Txnrd1",4.40998176393907e-20,1.76987895580408,0.911,0.22,2.3076111576164e-15
"Trp73",4.93276596664343e-20,1.72314243173266,0.833,0,2.58116844736551e-15
"Mbd2",8.06594495422309e-20,1.90026363051722,0.944,0.424,4.22066701619632e-15
"Lbh",1.49720613744388e-19,1.93853258718816,0.889,0.102,7.83443055540259e-15
"Smarcd2",3.78681092717401e-19,1.48584535552693,0.989,0.949,1.98152455386235e-14
"Mt2",4.76806527449997e-19,-1.68587205087572,0.178,0.847,2.4949855161876e-14
"Ssbp2",6.28112891308752e-19,-1.48814801224108,0.933,1,3.28672632635131e-14
"Foxo1",1.46188561755518e-18,1.58098798827413,0.811,0.034,7.64960887098101e-14
"Kctd1",1.46730467683905e-18,1.89279832382217,0.844,0.119,7.67796518249571e-14
"Afap1",1.63108087599838e-18,1.42062331278651,0.978,0.831,8.5349568998367e-14
"Gmnc",1.64163762223168e-18,1.57802618404311,0.8,0.017,8.59019718585172e-14
"Hmga2",1.67906102114009e-18,-1.57040733948248,0.033,0.712,8.78602260531976e-14
"Tspan12",2.03236862954974e-18,-1.2302336702229,0.011,0.678,1.06347753278449e-13
"Ifitm2",2.32207371348605e-18,1.63981712117283,0.956,0.746,1.21507151205585e-13
"Gnai2",2.44204252461014e-18,1.68398738648309,0.933,0.424,1.27784759185275e-13
"Gnal",3.56759500122692e-18,-1.18470865057753,0.044,0.729,1.86681543629201e-13
"Ppia",5.5174296105537e-18,1.19425354239182,1,1,2.88710539231443e-13
"Rgma",6.11187576290114e-18,-0.951269930981409,0.011,0.661,3.19816123045328e-13
"Galnt7",6.63303216429112e-18,1.78602974604703,0.811,0.085,3.47086674060861e-13
"Elavl4",7.86316181893162e-18,2.42090127061938,0.922,0.61,4.11455668499235e-13
"Ckb",1.03366406970239e-17,-1.59244308724938,0.656,0.983,5.40885397753168e-13
"Nsg2",1.08025854887562e-17,1.5888053628775,0.889,0.254,5.65266890870147e-13
"Umodl1",1.10083350249978e-17,1.61453009821004,0.922,0.356,5.76033146853062e-13
"9930021J03Rik",1.30317458809089e-17,-1.37837594086739,0.467,0.949,6.81912166710318e-13
"Ghr",1.85303683027981e-17,-1.28734966226147,0.078,0.729,9.69638582180518e-13
"1700096K18Rik",2.13001324156269e-17,-1.57435269524234,0.189,0.831,1.11457202891251e-12
"Gm31938",2.62861314648073e-17,-1.2724301207297,0.022,0.661,1.37547440115897e-12
"Id4",3.64903489881671e-17,-1.73381290949029,0.856,1,1.90943049150382e-12
"Ly6h",4.84045051803343e-17,1.77463278300286,0.956,0.593,2.53286254257135e-12
"Nfib",5.57237886484354e-17,-1.56405129752562,0.278,0.932,2.91585868860668e-12
"Map1b",6.54920422553554e-17,0.692268268726489,1,1,3.42700209509598e-12
