"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tmsb15b2",7.11179953187232e-91,0.173160555977798,0.161,0.01,3.72139134104283e-86
"Atp9a",8.76016623813031e-91,0.153547198144736,0.717,0.342,4.58393218742645e-86
"Prkag1",9.84020783013811e-91,0.0652631830096814,0.241,0.053,5.14908555127637e-86
"Pigf",1.05820394811292e-90,0.0885617079355583,0.239,0.052,5.53726379929048e-86
"Nmi",1.07431005661635e-90,0.119990209630819,0.199,0.03,5.62154223325636e-86
"Ndfip2",1.13385674797187e-90,-0.0274968695696083,0.634,0.276,5.93313220511239e-86
"Mrps22",1.19224457192068e-90,0.0958035064851221,0.238,0.051,6.23865817148935e-86
"Eif2b5",1.29778327020488e-90,0.0892669550527574,0.258,0.063,6.79091051800108e-86
"Acat2",1.56739553562094e-90,0.112663841874633,0.219,0.042,8.20171061924368e-86
"Pak2",1.57665393886629e-90,-0.0108329481455548,0.512,0.207,8.25015706590563e-86
"Tnks2",1.65234959819844e-90,0.0135079531684232,0.496,0.201,8.64624974249296e-86
"Angptl6",1.87962478796558e-90,0.14222882273368,0.166,0.013,9.83551262798749e-86
"Ldhb-ps",2.00829604528814e-90,0.152727900995951,0.161,0.011,1.05088107161793e-85
"Dipk1a",2.02759370430714e-90,-0.00202527756280713,0.445,0.167,1.0609789576528e-85
"Ppfia1",2.04941144262677e-90,-0.00256645374408626,0.537,0.221,1.07239552558331e-85
"Eif2b2",2.10452854510974e-90,0.125823336848845,0.191,0.026,1.10123665179957e-85
"Ctnnd1",2.19933208896853e-90,0.0753554478103801,0.283,0.077,1.15084450219456e-85
"Tmem59",2.23094335822151e-90,0.142776912200259,0.927,0.59,1.16738573105657e-85
"Smad1",2.35211768938858e-90,0.1068844297152,0.281,0.077,1.23079262332636e-85
"Yaf2",2.40834621731421e-90,0.130336362345841,0.218,0.041,1.26021532513401e-85
"Rps2-ps10",2.43779197780654e-90,0.0933081628699524,0.197,0.03,1.27562340822683e-85
"Ube2o",2.77201299794504e-90,-0.0226937501426059,0.64,0.28,1.4505112414347e-85
"Sp3",2.90220702723006e-90,-0.023060768141313,0.341,0.108,1.51863787113867e-85
"Rnf20",3.00778082935105e-90,0.116620986862911,0.734,0.346,1.57388147457452e-85
"Appbp2",3.01272114751566e-90,0.0397605924558316,0.291,0.082,1.57646659486052e-85
"Rsbn1",3.12114733130364e-90,-0.000475319906353522,0.527,0.217,1.63320276405126e-85
"AI987944",3.15807809813851e-90,0.0388296252907815,0.322,0.098,1.65252752641294e-85
"Dok4",3.43879476251364e-90,0.0959208951325502,0.234,0.05,1.79941813538051e-85
"D330050I16Rik",3.64451932088108e-90,0.0728646253977295,0.261,0.065,1.90706762503744e-85
"Slc31a2",3.67090311527117e-90,-0.00536857706483707,0.412,0.149,1.92087347312795e-85
"Vwa5a",3.9512105665797e-90,0.14149166200857,0.244,0.056,2.06754995317416e-85
"Commd10",4.10181735615526e-90,0.0189767994313207,0.403,0.145,2.14635796795536e-85
"Ttc14",4.59454917888114e-90,-0.980507675823301,0.72,0.621,2.40418974883314e-85
"Dhrs7",4.79134400855325e-90,0.0682836340505855,0.702,0.328,2.50716657935566e-85
"Ppp1r16a",4.98691553017632e-90,0.0189455556847271,0.309,0.091,2.60950328947536e-85
"Dpp7",5.55263760883847e-90,0.0350694681913661,0.327,0.101,2.90552868157691e-85
"Msl3",6.27922965649296e-90,0.118701964934589,0.244,0.056,3.28573250235307e-85
"Tjp1",6.38796681359751e-90,0.00710367852560434,0.517,0.212,3.34263139455117e-85
"Hmg20b",6.80226072171022e-90,-0.0574442205094329,0.434,0.162,3.5594189678493e-85
"2510002D24Rik",7.50556133554399e-90,-0.0491799113453015,0.405,0.145,3.9274350800501e-85
"Pcdh19",7.95628162377447e-90,0.0733387273255464,0.439,0.171,4.16328348527247e-85
"Hnrnpul1",9.54297261110897e-90,0.0338529858428873,0.675,0.305,4.99355127821499e-85
"Wdr83",9.98310519790046e-90,0.106328328315917,0.202,0.033,5.22385945690538e-85
"Abt1",1.05698974597956e-89,0.0983934103765258,0.195,0.029,5.53091024378725e-85
"Ddx27",1.06423380471721e-89,0.0136619412495276,0.333,0.105,5.56881622994377e-85
"Tcp11l2",1.10629956268351e-89,0.131180170207463,0.214,0.039,5.788933721654e-85
"Pknox1",1.18508572802596e-89,0.0984784443862148,0.276,0.074,6.20119808904144e-85
"Gins4",1.19443497038356e-89,0.111747053374658,0.209,0.037,6.25011986952605e-85
"Brdt",1.32926723831674e-89,0.154303136091472,0.763,0.384,6.95565667793999e-85
"3110040N11Rik",1.33579045319454e-89,0.12882099731686,0.196,0.03,6.98979070443109e-85
"Timm8a1",1.490102682098e-89,0.128058076012185,0.168,0.015,7.79726030461419e-85
"Zc3hav1",1.948372592543e-89,-0.00139903700230137,0.455,0.177,1.01952492649997e-84
"Mrpl38",1.98692892113762e-89,-0.00211936148742126,0.284,0.077,1.03970029656368e-84
"Cog4",2.02809132904994e-89,0.00976771527691722,0.317,0.097,1.06123934975196e-84
"2810006K23Rik",2.35662203506385e-89,0.0312897303167251,0.282,0.077,1.23314961228786e-84
