"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Itpkb",0,-0.497912987015076,0.008,0.337,0
"C130074G19Rik",0,-0.356946920225185,0.008,0.279,0
"Cyb5r1",0,-0.90622928860453,0.007,0.635,0
"Shisa4",0,-0.539300237967586,0.008,0.388,0
"Cfap126",0,-1.33509268184243,0.111,0.709,0
"Cntnap5b",0,-0.393591540291617,0,0.244,0
"Phlpp1",0,-0.294075238691118,0.007,0.312,0
"Rgs7",0,-0.465412430874208,0.01,0.344,0
"Tuba4a",0,-0.414461513891215,0.007,0.235,0
"Susd4",0,-0.38974718136771,0.004,0.3,0
"Ric8b",0,-1.93402963719861,0.079,0.851,0
"Ppp1r14c",0,-1.99687074729199,0.017,0.798,0
"Csrp2",0,-0.622035578149128,0.003,0.219,0
"Fam183b",0,-0.78333716176938,0.004,0.377,0
"Nsg2",0,-1.07782770316222,0.068,0.693,0
"Foxj1",0,-0.632851450879259,0.003,0.486,0
"Mgat5b",0,-0.307264733106815,0.002,0.305,0
"Etv4",0,-0.800904033993898,0.003,0.37,0
"Atox1",0,-3.31990273100973,0.117,0.902,0
"Cacng4",0,-0.583195632558384,0.026,0.451,0
"Dnai2",0,-0.293428618794158,0.001,0.177,0
"Gprc5c",0,-0.659021479955565,0.014,0.505,0
"6330403K07Rik",0,-0.307089010396666,0.003,0.277,0
"Tekt1",0,-0.536287729391191,0.004,0.442,0
"Gm11992",0,-1.33874157702921,0.028,0.521,0
"2410004P03Rik",0,-0.414259980597717,0.015,0.363,0
"Id2",0,-1.01690831751889,0.033,0.442,0
"Gm10432",0,-1.30358564681371,0.011,0.572,0
"Itgb8",0,-0.199545581173436,0.004,0.191,0
"Hdac9",0,-1.22030386846241,0.014,0.66,0
"Gm16339",0,-0.160626094144938,0,0.137,0
"Slc24a4",0,-0.483878531689505,0.01,0.344,0
"Lgmn",0,-0.794545163781672,0.046,0.612,0
"Gm26777",0,-0.201276778623276,0.002,0.165,0
"Rgs6",0,-0.608013801925248,0.009,0.398,0
"Adcy3",0,-0.746607738999479,0.03,0.467,0
"Stmnd1",0,-0.788600785684154,0.009,0.46,0
"Fam81b",0,-1.06512907232553,0.004,0.519,0
"Iqgap2",0,-0.701249826058967,0.008,0.507,0
"Adam28",0,-0.953280802597203,0.023,0.444,0
"Galnt15",0,-0.537106372806973,0.003,0.388,0
"Pde1b",0,-0.223648062168422,0.007,0.219,0
"Cdh18",0,-0.201830701402982,0.001,0.144,0
"Odf3b",0,-0.392622145203653,0.001,0.305,0
"Abcd2",0,-0.720925305524293,0.012,0.514,0
"Trps1",0,-1.02169335966387,0.126,0.756,0
"Gm48913",0,-0.224553928043429,0.002,0.151,0
"Ccn3",0,-0.420314791144284,0.007,0.305,0
"Faim2",0,-2.32902736071668,0.155,0.784,0
"Olig2",0,-0.33330678016819,0.001,0.223,0
"Olig1",0,-0.45601059700364,0.001,0.281,0
"Cfap44",0,-0.590634976339718,0.026,0.444,0
"4930483P17Rik",0,-0.491553416780576,0.002,0.435,0
"Robo2",0,-0.668893228238319,0.014,0.486,0
"Nrm",0,-0.278606193616943,0.003,0.291,0
"Mslnl",0,-1.725210563791,0.053,0.665,0
"Clip4",0,-0.490254422370846,0.007,0.286,0
"Galnt14",0,-1.0641428606697,0.007,0.691,0
"Olfr124",0,-4.72915949308846,0.009,0.33,0
"C230072F16Rik",0,-0.442176497528751,0.012,0.312,0
"Gnal",0,-4.27139026688212,0.032,0.956,0
"Gm50169",0,-0.315580341643369,0.001,0.207,0
"Mppe1",0,-0.313778508611402,0.006,0.249,0
"B430212C06Rik",0,-0.413644437405902,0.001,0.223,0
"Cidea",0,-1.89968570700895,0.006,0.798,0
"Ndfip1",0,-2.86057896527557,0.157,0.919,0
"1700028P14Rik",0,-0.49442413763025,0.002,0.414,0
"Hectd2os",0,-0.22310973231604,0.002,0.181,0
"Sema4g",0,-0.512714667770021,0.026,0.444,0
"Tle4",0,-0.316907088325916,0.009,0.249,0
"Aldh3b1",0,-0.360810274564445,0.011,0.342,0
"Fam107b",0,-0.725885641610753,0.002,0.586,0
"Gm13185",0,-0.272382756015442,0,0.256,0
"Trp53inp2",0,-0.580716352293734,0.03,0.47,0
"Armc3",0,-0.255203599176745,0.001,0.237,0
"Uckl1os",0,-1.87959234596859,0.056,0.758,0
"Gpr158",0,-0.402940681024858,0.026,0.377,0
"Creb3l1",0,-0.675541192803034,0.001,0.44,0
"Cerkl",0,-0.288826700344546,0.007,0.233,0
"Slc1a2",0,-1.13701694742041,0.034,0.465,0
"Lmo2",0,-0.516600897295374,0.032,0.447,0
"Ebf4",0,-1.26306270635301,0.002,0.774,0
"Cd59a",0,-0.415225114327173,0.004,0.309,0
"Clic3",0,-0.290584840693412,0.009,0.24,0
"Jag1",0,-0.6908296441422,0.033,0.419,0
"Acss1",0,-0.450351329434271,0.003,0.374,0
"E130215H24Rik",0,-0.144862907011864,0,0.153,0
"Rprm",0,-2.17806319069417,0.003,0.519,0
"Kirrel",0,-0.467117664509432,0.002,0.27,0
"Stoml3",0,-5.47121830048946,0.017,0.888,0
"Bcl9",0,-0.878960544082595,0.046,0.64,0
"Frem2",0,-0.215805687144103,0.001,0.193,0
"Trpc4",0,-0.259214357093624,0.001,0.193,0
"Sertm1",0,-0.584594387283575,0.012,0.414,0
"Dclk1",0,-1.40371459505084,0.077,0.637,0
"Pifo",0,-0.93869018636975,0.07,0.633,0
"S100a3",0,-0.35035607185695,0.001,0.26,0
"S100a5",0,-5.96647354589542,0.113,0.858,0
"Rnf183",0,-0.314924854793061,0.003,0.305,0
"Serinc2",0,-0.848990044335558,0.032,0.64,0
"Lurap1l",0,-0.159658259389109,0.001,0.153,0
"Nfib",0,-1.99220498004556,0.028,0.895,0
"Id3",0,-1.45503759727274,0.006,0.57,0
"Mycl",0,-0.161051939643713,0.002,0.167,0
"Ago1",0,-0.573478272195539,0.016,0.447,0
"Gpr63",0,-0.222548070068995,0.003,0.181,0
"Gm11837",0,-0.105421121445881,0,0.135,0
"Necab1",0,-0.481741553087334,0.019,0.405,0
"Tmem64",0,-1.27094477410046,0.035,0.665,0
"Ptpn13",0,-0.774187441926488,0.007,0.556,0
"Hsd17b11",0,-0.671799855372101,0.003,0.519,0
"Lrrc8c",0,-0.19883123576847,0.005,0.207,0
"Lrrc43",0,-0.202475428971595,0.003,0.179,0
"Sult1d1",0,-2.17397331618366,0.106,0.735,0
"Uncx",0,-2.31941902084363,0.017,0.933,0
"Kif19b",0,-0.354383234309525,0.007,0.267,0
"Pdia4",0,-0.691473771532123,0.065,0.621,0
"Gm43909",0,-0.290514554398844,0.016,0.302,0
"Scnn1a",0,-0.228443867502008,0.002,0.226,0
"Ptprz1",0,-0.441017524579162,0.005,0.235,0
"Fezf1",0,-0.838105739308907,0.001,0.607,0
"C130093G08Rik",0,-1.61125130749501,0.006,0.786,0
"Cadps2",0,-1.41225891482771,0.01,0.777,0
"Gm45060",0,-0.274072500445778,0.002,0.235,0
"Gng12",0,-0.354346452184793,0.005,0.316,0
"Slc15a5",0,-1.95144743533819,0.028,0.765,0
"Smkr-ps",0,-0.361074644392155,0.003,0.286,0
"Plxna4",0,-1.01342275750406,0.017,0.591,0
"Lrguk",0,-1.51584767573268,0.094,0.737,0
"Ptn",0,-1.13679906079,0.012,0.298,0
"Homer2",0,-2.96868972433747,0.06,0.96,0
