"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xntrpc",2.72600886330447e-13,0.954126898439166,0.65,0.051,1.42643865790133e-08
"Cdk18",2.7933444510629e-13,-0.567064706632781,0.007,0.373,1.46167335090769e-08
"Ccdc187",2.80836267142662e-13,1.12142820930757,0.876,0.492,1.46953193507741e-08
"Ina",2.94756833570349e-13,1.12999776947807,0.927,0.864,1.54237408302356e-08
"Gm17167",3.00423392715659e-13,-0.697371091362287,0.051,0.475,1.57202548706323e-08
"H3c15",3.3413114977887e-13,-0.419287293725069,0.015,0.39,1.74840806744789e-08
"Gm26871",3.53659381869618e-13,1.14320044886099,0.679,0.085,1.85059344750915e-08
"Pim3",3.74328413748657e-13,-1.32851503389924,0.81,0.949,1.9587482906226e-08
"Samd5",3.91723997255036e-13,-0.594814455449781,0.029,0.424,2.04977416043642e-08
"Rarg",4.04284042217909e-13,-0.592280820246677,0.029,0.441,2.11549710771365e-08
"Hdac2",4.14728914892571e-13,-1.09170749100719,0.92,1,2.17015199295836e-08
"Meg3",4.53527982366559e-13,2.17492488611924,0.65,0.068,2.3731758733295e-08
"Dennd5a",4.5388111640664e-13,-0.955671609215426,0.474,0.881,2.37502371782103e-08
"Stk33",5.45857171842331e-13,1.07157007087483,0.591,0.017,2.85630682309937e-08
"Tcfl5",5.46303892334254e-13,1.02542010014253,0.613,0.051,2.85864437741745e-08
"Nhlh1",5.61908990772764e-13,1.19115109172346,0.905,0.712,2.94030117601664e-08
"Kmt5a",5.71122697725731e-13,-1.03070162343363,0.482,0.864,2.98851374038943e-08
"Dlx5",6.27693094477793e-13,-1.00143297453118,0.883,1,3.28452965547395e-08
"Tppp3",6.55107180121104e-13,1.13271615913357,0.715,0.153,3.4279793414197e-08
"Arhgap42",7.14871398002186e-13,-0.839526805925766,0.088,0.525,3.74070756432604e-08
"Brd1",7.17018435162054e-13,-1.03502281881958,0.942,1,3.75194236567248e-08
"Slitrk4",8.2609528487122e-13,-0.466059281459196,0,0.339,4.32270879714563e-08
"H2ac6",8.29686563454279e-13,-0.559530094702688,0.029,0.424,4.3415008805872e-08
"Ube2h",8.29919519828212e-13,-0.972807173326822,0.693,0.983,4.34271987140508e-08
"Gal",9.16943883012703e-13,1.92321609559499,0.569,0,4.79809225664057e-08
"Anp32a",9.75707753450997e-13,0.935346244302952,0.92,0.763,5.10558596148303e-08
"Reep5",1.03280469052974e-12,1.10871333456291,0.686,0.136,5.40435710413496e-08
"Basp1",1.1149731850113e-12,0.795026079407986,0.993,1,5.83432018520863e-08
"2610037D02Rik",1.24783230847226e-12,-0.820138745815439,0.314,0.797,6.52953212054279e-08
"Map1b",1.75890888684414e-12,0.565834604122085,1,1,9.20384253218936e-08
"Ppp1ca",2.06541302210391e-12,-0.803558310124282,0.832,0.983,1.08076867207631e-07
"Galnt14",2.25369549659229e-12,-0.560909361935969,0.022,0.39,1.17929124250185e-07
"Sh2b2",2.38609055489192e-12,-0.776202652677707,0.285,0.763,1.2485696046583e-07
"Trnp1",2.3967889186056e-12,1.0370475513644,0.883,0.678,1.25416773743875e-07
"Shtn1",2.45295350400634e-12,1.12951428772688,0.905,0.661,1.2835569800414e-07
"Tom1",2.52335969299286e-12,0.969488185047779,0.759,0.186,1.32039842655237e-07
"Dlx6os1",2.6277379249835e-12,-1.39920546811483,0.759,0.932,1.37501642400611e-07
"Stmn4",2.70787244623356e-12,1.46017937596622,0.891,0.593,1.41694841494063e-07
"Ndufb7",2.74819632681842e-12,-0.654062718839425,0.912,1,1.43804869193428e-07
"Ifitm2",2.98196766880339e-12,1.13216616251663,0.898,0.746,1.56037422205475e-07
"Ccl27a",3.12324028489414e-12,-0.930196506474424,0.46,0.864,1.63429794387656e-07
"Epb41l3",3.3549646617817e-12,1.14358056465622,0.745,0.288,1.75555235857051e-07
"Adipoq",3.35641675218693e-12,-0.486929244439892,0.022,0.39,1.75631219391685e-07
"Gm48703",3.38973592235709e-12,-0.689622436266665,0.051,0.458,1.7737471160918e-07
"Prag1",3.776490860665e-12,-0.543591736304625,0.08,0.542,1.97612437266017e-07
"Macroh2a1",4.00141507553172e-12,0.742895905364472,0.971,0.983,2.09382046657348e-07
"Elmo1",4.00166606795513e-12,1.06846557662567,0.73,0.153,2.09395180337888e-07
"Zfas1",4.47102046313571e-12,-0.865724624349128,0.642,0.966,2.33955087774502e-07
"Cemip2",4.78573195484986e-12,1.16195811792322,0.788,0.356,2.50422996001428e-07
"Nes",4.91450403154507e-12,1.32848640302852,0.562,0.017,2.57161252458659e-07
"Jph4",5.09025545754238e-12,-0.75129861135266,0.007,0.339,2.6635779732682e-07
"Brap",5.1039379168378e-12,1.11034179681977,0.81,0.322,2.67073759374372e-07
"Clic1",5.66484861869901e-12,1.172427938809,0.898,0.746,2.96424533670663e-07
"Rpl28",5.75030954078723e-12,-0.722657016323161,0.912,1,3.00896447340774e-07
"Ugp2",5.89355734044749e-12,-1.10058766986109,0.219,0.661,3.08392174953596e-07
"Cyrib",5.98690044266723e-12,1.01109560881952,0.701,0.186,3.13276539463448e-07
"Wrn",7.02394644197628e-12,-0.724650518406314,0.161,0.627,3.67542045469293e-07
"Hdac11",7.06198575331201e-12,-0.949677802285605,0.19,0.644,3.69532528513558e-07
