"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tmod2",3.40067527175821e-29,0.549582544974932,0.784,0.667,1.77947134945292e-24
"Tchp",3.45138938177278e-29,-0.280829232632479,0.254,0.5,1.80600852180024e-24
"Cfap61",3.58490965629032e-29,-0.198205513127225,0.072,0.23,1.87587567584703e-24
"Tram1",3.7932619833823e-29,0.533655815936694,0.803,0.747,1.98490019804446e-24
"Ap1s1",3.81952364685192e-29,-0.339531634489545,0.511,0.786,1.99864213868821e-24
"Higd1a",4.00232422712978e-29,0.582996135209453,0.771,0.751,2.0942961983302e-24
"Ptp4a3",4.06041340795719e-29,0.481948052256703,0.916,0.814,2.12469252398176e-24
"Gm7694",4.08431927483339e-29,0.411099149865329,0.388,0.121,2.13720174694207e-24
"Arid4a",4.17885444435391e-29,-0.366463481761113,0.371,0.621,2.18666916509707e-24
"Wee2",4.40099571321218e-29,-0.124507798380497,0.025,0.128,2.30290902685254e-24
"Gpr27",4.59362230051641e-29,-0.171903512610759,0.115,0.302,2.40370474119122e-24
"Nnat",4.62511261383465e-29,-0.0728146808260167,0.007,0.07,2.42018267744126e-24
"Vamp2",4.71533635893301e-29,0.436644597677872,0.893,0.893,2.46739405653888e-24
"Gm20531",4.93996916940715e-29,-0.541971897959885,0.334,0.556,2.58493766727568e-24
"Rpl34",4.94579573971612e-29,0.621638634124627,0.802,0.77,2.58798653672126e-24
"Slc23a3",5.55038390942465e-29,-0.0551634489689683,0.003,0.053,2.90434938828464e-24
"Brk1",5.85052833778965e-29,-0.36842837846674,0.521,0.772,3.06140596331519e-24
"Nucb2",6.01137270874065e-29,0.617724279184635,0.657,0.514,3.14557099730272e-24
"Atp2b1",6.31380744243472e-29,0.593316104402449,0.92,0.919,3.30382602040282e-24
"Rsrp1",6.35354671982311e-29,-0.446621187146344,0.836,0.972,3.32462039208184e-24
"Cttnbp2",6.63590156155487e-29,-0.131623647222103,0.073,0.237,3.47236821011482e-24
"Igf2bp2",7.02015456537481e-29,-0.206528591574545,0.126,0.326,3.67343627942367e-24
"Bcl11a",7.14489414787666e-29,-0.41866934578982,0.667,0.851,3.73870876075942e-24
"Nrip1",7.24569643225443e-29,-0.292971333726568,0.168,0.384,3.79145557210577e-24
"Me2",7.72739715971668e-29,0.525978223283913,0.719,0.584,4.04351511176495e-24
"Dnajc27",8.02128408396041e-29,-0.12673353634395,0.053,0.193,4.19729732261397e-24
"A930004J17Rik",8.29354023246991e-29,0.410363039357704,0.397,0.126,4.33976079744453e-24
"B4galnt2",8.30837247414414e-29,0.323838475316418,0.245,0.007,4.3475220645454e-24
"Smad6",8.36349321566515e-29,-0.0326207734459551,0.001,0.037,4.3763650949611e-24
"Tnc",8.61538062816531e-29,-0.0613106476328351,0.009,0.077,4.50817022130006e-24
"Psma3",8.64274049367922e-29,-0.409075796910436,0.667,0.853,4.52248681812752e-24
"Cox20",8.69347309162999e-29,-0.286024035342136,0.39,0.658,4.54903366465722e-24
"Unc45a",9.96538311375586e-29,-0.468459907995926,0.577,0.812,5.21458602193503e-24
"Pcf11",1.16182382884271e-28,-0.40038564131746,0.494,0.735,6.07947554918523e-24
"Ppp1r1a",1.19331147483859e-28,-0.587698776355957,0.643,0.786,6.24424095438791e-24
"Gm10076",1.26472752646869e-28,0.512534034234972,0.88,0.814,6.61793972775273e-24
"Gm2011",1.28054166004462e-28,-0.267616368172992,0.289,0.54,6.7006903445155e-24
"Arhgap18",1.29653504138731e-28,-0.0436550718811187,0.002,0.047,6.78437891106738e-24
"Sgtb",1.36698127359411e-28,-0.306430422293794,0.356,0.612,7.15300291033592e-24
"Ncapg2",1.44631539652285e-28,0.509944788431305,0.866,0.812,7.56813457538513e-24
"Maml2",1.54405146961683e-28,-0.10856050694496,0.02,0.114,8.07955812506396e-24
"Dync1h1",1.7007609840211e-28,0.528133685307521,0.905,0.847,8.89957200108721e-24
"Ell3",1.84491206215785e-28,-0.290170237176796,0.397,0.66,9.65387134765338e-24
"AA474408",1.87070506436777e-28,1.09176063620222,0.627,0.426,9.78883839031724e-24
"Lamtor2",1.89303754026865e-28,0.45878935675456,0.858,0.86,9.90569753696376e-24
"Psmd8",1.89765281678846e-28,-0.448869716745171,0.667,0.842,9.92984789440897e-24
"Myo5b",1.90655186699721e-28,0.493561130463796,0.577,0.337,9.97641395443631e-24
"Pigx",2.1256640088933e-28,-0.224831483604826,0.227,0.46,1.1122962059336e-23
"Bcas3os2",2.17607665386733e-28,-0.029600927311638,0,0.028,1.13867563066916e-23
"Hspd1-ps4",2.17607665386733e-28,-0.029156161148068,0,0.028,1.13867563066916e-23
"Vcl",2.31178413333626e-28,-0.203670055385015,0.115,0.307,1.20968728345086e-23
"Efcab1",2.33385861842263e-28,0.390780965420285,0.274,0.03,1.22123819926201e-23
"Bace1",2.33528332219381e-28,-0.369558929541546,0.485,0.73,1.22198370400435e-23
"1110020A21Rik",2.41298774982961e-28,-0.191513311431689,0.14,0.337,1.26264409985334e-23
"Idh3b",2.47833811644019e-28,-0.402141324025286,0.631,0.826,1.29683998618966e-23
