"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"2610507B11Rik",3.95124887719408e-46,-0.0458136033143864,0.456,0.124,2.06756999996935e-41
"Tiparp",3.95974890021772e-46,0.0671795957921187,0.265,0.051,2.07201780701693e-41
"Anxa7",4.03561236846208e-46,-0.0677756708419608,0.505,0.145,2.11171488404515e-41
"Gpaa1",4.06215475864101e-46,0.0323479911871165,0.321,0.071,2.12560372055408e-41
"A930029G22Rik",4.09263598665146e-46,0.0579542938387451,0.179,0.022,2.14155363273511e-41
"Emb",4.36468747766607e-46,0.265977979752772,0.833,0.304,2.28391001643832e-41
"Surf6",4.64537029684237e-46,0.0199591854824389,0.26,0.049,2.43078291522871e-41
"Niban2",4.65587631944008e-46,0.114653453658752,0.167,0.019,2.43628040167341e-41
"Zfp664",4.71235447516065e-46,0.193704860394306,0.844,0.304,2.46583372621731e-41
"Edn2",4.72714889339203e-46,0.101304545999193,0.088,0.002,2.47357520144525e-41
"Dcdc2a",4.86099320039153e-46,1.15802833922351,0.644,0.3,2.54361191196888e-41
"1700012B09Rik",5.06937133556767e-46,1.16096784711035,0.712,0.376,2.65264993876249e-41
"Elp2",5.14731518227747e-46,0.0464331094168728,0.36,0.087,2.69343561543033e-41
"Rnf152",5.19171187970323e-46,0.164050554362047,0.135,0.011,2.71666707529231e-41
"4933429H19Rik",5.44144452748188e-46,0.0745433617193686,0.123,0.008,2.84734467789545e-41
"Timm17a",5.58068851273611e-46,0.389039155998595,0.853,0.352,2.92020687805942e-41
"Rbm48",5.61421304680315e-46,-0.0286911884950191,0.328,0.074,2.93774926100069e-41
"Mospd3",5.77995894001007e-46,0.0642032991669114,0.184,0.024,3.02447911453907e-41
"Bik",5.88148689533922e-46,0.0323033593613144,0.228,0.038,3.07760564772415e-41
"Irak1",6.17040265946192e-46,0.0169475341258175,0.384,0.097,3.22878659961664e-41
"Gm17229",6.20337999926109e-46,0.11825462872841,0.274,0.055,3.24604265221335e-41
"Aqr",6.76925739124172e-46,-0.0192764135117613,0.453,0.124,3.54214931511506e-41
"Arcn1",6.84760505217779e-46,-0.0399555387878232,0.595,0.183,3.58314629565307e-41
