"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AA474408",4.77962987313937e-109,-0.479989441580042,0.426,0.627,2.50103692371764e-104
"Dio2",4.81662773688208e-109,0.189183083936046,0.119,0.008,2.52039679587828e-104
"Xrcc1",5.05957276901114e-109,-0.228100153461741,0.241,0.415,2.64752264284046e-104
"Psmd3",5.42205150240071e-109,-0.283363974074012,0.465,0.655,2.83719688966122e-104
"Ric8a",6.48630296853376e-109,-0.225662736712242,0.269,0.443,3.39408775434466e-104
"BC031181",7.24886323164907e-109,-0.449675808482557,0.909,0.934,3.79311266322501e-104
"Fkbp1a",7.84100017246147e-109,0.418427359904849,0.908,0.88,4.10296016024391e-104
"Rpl39",9.59136035517662e-109,0.253717820466809,0.97,0.957,5.01887113305327e-104
"Eif3h",1.07451126644293e-108,0.327738452389826,0.841,0.784,5.62259510391593e-104
"Kcnab2",1.83322733578063e-108,0.246319326903884,0.271,0.112,9.59272867993931e-104
"Pard3b",3.75039567188559e-108,-0.276353046072091,0.196,0.357,1.96246954322757e-103
"Rbm3",4.02618038330838e-108,0.309768332287168,0.901,0.866,2.10677940917377e-103
"Coq7",4.996882824141e-108,0.325065044332236,0.461,0.313,2.61471887538826e-103
"Tecpr1",6.29357112576005e-108,-0.275589984130936,0.381,0.571,3.29323696297646e-103
"Pgrmc1",1.05442645954276e-107,0.290949894655769,0.4,0.239,5.51749733484939e-103
"Pigt",1.78303824743391e-107,-0.313859196864169,0.534,0.712,9.33010423734741e-103
"4930524O07Rik",2.56580902621505e-107,-0.0830346532983559,0.021,0.096,1.34261088914755e-102
"Qdpr",4.52905095256221e-107,-0.293151836180356,0.376,0.541,2.36991649194723e-102
"Prss22",4.84521025081957e-107,-0.191685662595676,0.059,0.167,2.53535316794635e-102
"1810062G17Rik",4.95525836856924e-107,-0.0967586432946085,0.047,0.146,2.59293804652123e-102
"Arl6",7.89970325926541e-107,0.3661070953745,0.672,0.58,4.13367772447581e-102
"Gm12892",1.08241536776717e-106,0.289238498241943,0.315,0.16,5.66395489491525e-102
"Gnb2",1.16430576184583e-106,0.29431611487952,0.273,0.115,6.09246276001067e-102
"Gm20287",1.3553003785311e-106,-0.751872934119346,0,0.038,7.0918802907397e-102
"Plppr1",1.39667086565672e-106,-0.308854436492683,0.534,0.697,7.30835963872192e-102
"Il13ra1",1.45002197598134e-106,0.197734431198778,0.195,0.055,7.58752999371758e-102
"Vamp8",1.55001696983031e-106,0.270497352840471,0.362,0.195,8.11077379803108e-102
