"pathway","pval","padj","log2err","ES","NES","size","Category"
"REGULATION_OF_RIBONUCLEASE_ACTIVITY",0.000315986302434109,0.0399886113770062,0.49849310876659,-0.998184575507293,-1.46610163462624,2,"BP"
"SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",0.000314925771880465,0.0399886113770062,0.49849310876659,0.700786273240236,1.92268813357553,35,"BP"
"RESPONSE_TO_AMINE",0.000328348681211821,0.0408488020355045,0.49849310876659,0.816211852245825,1.92747283920293,15,"BP"
"REGULATION_OF_BLOOD_PRESSURE",0.000336885327665804,0.0412123050844501,0.49849310876659,0.650022319805147,1.92529100181425,48,"BP"
"REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT",0.000349776768528789,0.0420878931311691,0.49849310876659,0.388410156155755,1.49868272787818,356,"BP"
"RESPONSE_TO_CATECHOLAMINE",0.000366978517500177,0.0434455212653436,0.49849310876659,0.696066710018517,1.90973946641614,35,"BP"
"REGULATION_OF_NEUROGENESIS",0.000385821466001568,0.0449512628643097,0.49849310876659,0.471044805320213,1.65536511289135,135,"BP"
"REGULATION_OF_CELL_ADHESION",0.00041382609791256,0.0467305162873568,0.49849310876659,0.433121413251517,1.60258503817061,229,"BP"
"REGULATION_OF_MONOCYTE_CHEMOTAXIS",0.000412885365326839,0.0467305162873568,0.49849310876659,0.923035869090715,1.90290080685587,8,"BP"
"EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE",0.00121516413695827,0.0471483685139808,0.45505986738723,0.649836960755542,1.87273559406094,40,"CC"
"MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX",0.00117697977951491,0.0471483685139808,0.45505986738723,-0.460593117683371,-1.59143693829862,146,"CC"
"REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT",0.000432902297286164,0.0481439827587946,0.49849310876659,0.36493971769956,1.44321734815845,432,"BP"
"CELLULAR_COMPONENT_MORPHOGENESIS",0.000458466015115535,0.0495044161045939,0.49849310876659,0.410561993292238,1.55422086673932,295,"BP"
"REGULATION_OF_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL",0.000465368489266618,0.0495044161045939,0.49849310876659,-0.999872269766254,-1.33964662998691,1,"BP"
"REGULATION_OF_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL",0.000465368489266618,0.0495044161045939,0.49849310876659,-0.999872269766254,-1.33964662998691,1,"BP"
