"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tshz2",1.04522472635501e-19,-1.94889251886904,0.333,1,5.46934742559789e-15
"Mslnl",4.63569121042234e-19,-1.39231404287495,0.056,0.889,2.4257181396777e-14
"Olig2",4.76584299193491e-19,-1.41732528659409,0.069,0.889,2.49382266238978e-14
"Pidd1",5.96236230467173e-19,2.10691290097399,0.958,0.067,3.11992532316557e-14
"Phlda1",2.36561562854647e-18,-2.11575543068174,0.278,0.978,1.23785568994951e-13
"Fezf1",2.71317271074462e-18,-2.04422738465544,0.319,0.978,1.41972188435134e-13
"Trp73",5.70885963084021e-18,1.76410307777191,0.917,0.022,2.98727497902975e-13
"C1qtnf4",8.74474772775376e-18,-1.88658088120063,0.222,0.933,4.57586414350171e-13
"Tex15",8.87203514554348e-18,-3.50342632074237,0.139,0.911,4.64246983060854e-13
"Ccno",9.84581376779052e-18,2.80497692520688,0.903,0,5.15201897027174e-13
"Gmnc",9.84581376779052e-18,2.32912156611733,0.903,0,5.15201897027174e-13
"Selenom",1.39773633214434e-17,-1.47627167361207,1,1,7.31393490521169e-13
"Cdkn1a",1.74165932000128e-17,2.61463061481638,0.958,0.289,9.11358072377068e-13
"Crabp1",4.7074377649124e-17,-3.48494147081885,0.722,1,2.46326095924571e-12
"Erc2",5.37838933876036e-17,-1.0471924028985,0.014,0.756,2.81434978929314e-12
"Mcidas",6.26457678484178e-17,2.26282744099919,0.875,0,3.27806509420416e-12
"Rnf182",7.17432629518517e-17,-1.96055916508099,0.542,0.978,3.75410972048154e-12
"Sp8",8.7092242806605e-17,2.49081976871175,0.944,0.289,4.55727578934122e-12
"Zfhx3",1.02161654242194e-16,-2.06026368161337,0.667,1,5.34581288153129e-12
"Zfp644",1.2563310188491e-16,-2.40141127232016,0.819,1,6.57400332233167e-12
"Olig1",2.01935625071244e-16,-1.30529208351423,0.028,0.756,1.0566685453103e-11
"Grp",9.65212534151218e-16,-2.15128065784713,0.5,1,5.05066762745308e-11
"Uncx",1.44858654353204e-15,-1.85452378792395,0.389,0.978,7.58001880634011e-11
"C130093G08Rik",1.44870449346594e-15,-1.9780472120025,0.486,0.978,7.58063600295921e-11
"Ckmt1",2.45487138279781e-15,-1.50126751194761,0.861,1,1.28456054847661e-10
"Ncl",2.61888388559517e-15,1.12564011691106,0.986,1,1.37038337081539e-10
"Ddah2",2.99655260403033e-15,-1.13975026478988,0.972,1,1.56800608111095e-10
"Ak1",3.07489192917713e-15,-1.41408140531463,0.486,1,1.60899869978052e-10
"Gng8",4.48299889094199e-15,-1.1521340864769,0.972,1,2.34581882966322e-10
"Col9a2",4.74072536557545e-15,-1.81422656696635,0.833,1,2.48067936204467e-10
"Cdk1",4.98311335973762e-15,1.52889042424687,0.806,0,2.6075137277499e-10
"H2az1",9.95975392960304e-15,1.25708492931096,1,1,5.21164043874339e-10
"Neurod1",1.04035230026317e-14,1.38214088793063,1,0.933,5.44385148158711e-10
"Ppp1r14a",1.34746082719315e-14,-2.01834693486443,0.597,0.978,7.05085827045358e-10
"Mycl",1.6790529876646e-14,1.78472996481574,0.958,0.689,8.78598056855254e-10
"Rtn1",2.19042534773369e-14,0.903730111237961,1,1,1.14618387170861e-09
"Ranbp1",4.56680316491704e-14,1.49708650729048,0.986,0.956,2.38967109210614e-09
"Ppia",4.56878404198855e-14,1.02495122021574,0.986,1,2.39070762565135e-09
"Ifitm2",7.31682512331041e-14,1.36813430704465,1,0.978,3.82867508227464e-09
"Plekhg1",9.24959109048286e-14,-0.879423184781506,0.042,0.689,4.84003352991697e-09
"Rgs2",9.81853800622779e-14,-1.5516208093963,0.25,0.889,5.13774638251881e-09
"Socs2",1.12696028489049e-13,1.83761291955988,0.944,0.667,5.89704508274646e-09
"Krt8",1.33561984154012e-13,2.52483915390737,0.819,0.133,6.98889794482701e-09
"Hap1",1.94279257965034e-13,1.36568034157329,0.889,0.356,1.01660507315363e-08
"Arl14epl",2.77236115708928e-13,-1.85836649453708,0.236,0.844,1.45069342267011e-08
"Casp3",2.87786300024822e-13,1.16437283130342,0.986,0.978,1.50589937213988e-08
"Osbpl1a",3.97717254711038e-13,-1.01627531226722,0.194,0.867,2.08113507872645e-08
"Maco1",4.09129034733617e-13,-0.906057944472228,0.944,1,2.1408495000506e-08
"Cadps2",5.13344619293523e-13,-1.19604163146066,0.556,0.978,2.68617838937722e-08
"Baz1a",5.27279422651914e-13,-1.84274370461579,0.833,0.978,2.75909503491067e-08
"Txnrd1",5.67501847874016e-13,1.31766148340694,0.861,0.289,2.96956691937037e-08
"Ssrp1",6.3404461519691e-13,1.2452830050727,0.972,0.822,3.31776525794087e-08
"Ifi27",8.54547504915407e-13,2.05099801475567,0.778,0.133,4.47159072897085e-08
